location,transit_id,school_id
600 block courtland st,NA,NA
600 block e wensley st,NA,NA
5800 block sansom st,NA,NA
5700 block tacony st,NA,NA
600 block s conestoga st,NA,NA
5700 block spruce st,NA,NA
5700 block n broad st,NA,NA
6000 block n 10th st,NA,NA
5700 block n beechwood st,NA,NA
5900 block mascher st,NA,NA
600 block rising sun av,NA,NA
600 block w girard ave,NA,NA
600 block emily st,NA,NA
5900 block n park ave,NA,NA
5900 block christian st,NA,NA
3400 block n 7th st,NA,NA
1100 block w erie ave,NA,NA
2000 block n 62nd st,NA,OVERBROOK ELEMENTARY SCHOOL
2000 block n bambrey st,NA,NA
2000 block orkney st,NA,NA
2000 block n van pelt st,NA,DOUGLASS MASTERY CHARTER
3700 block n delhi st,NA,NA
1900 block s 56th st,NA,NA
2100 block n corlies st,NA,NA
1500 block w butler st,NA,NA
1500 block butler st,NA,NA
700 block n preston st,NA,NA
1200 block e atlantic st,NA,NA
2200 block n bancroft st,NA,NA
2400 block nlawrence st,NA,NA
5100 block n front st,NA,NA
2700 block w cabot st,NA,NA
1100 block s ruby st,NA,NA
1800 block e albert st,Market-Frankford Line - Huntingdon,VISITATION SCHOOL
4800 block n howard st,NA,NA
5800 block n 20th st,NA,NA
1000 block w huntingdon st,NA,HOPE PARTNERSHIP FOR EDUCATION
2600 block s dewey st,NA,NA
3000 block n10th st,NA,NA
1800 block ewashington ln,NA,"PENNYPACKER, SAMUEL SCHOOL"
1200 block windrim ave,NA,NA
3100 block n percy st,NA,NA
2800 block coral st,NA,NA
1400 block friendship st,NA,NA
500 block w duncannon ave,NA,NA
1500 block n 20th st,NA,NA
1900 block church st,NA,NA
700 block s juniper st,NA,NA
3300 block n 2nd st,NA,NA
3300 block ridge ave,NA,NA
3400 block n 2nd st,NA,NA
3200 block vare ave,NA,NA
300 block n gross st,NA,NA
3400 block civic center blvd,NA,NA
3300 block n 6th st,NA,NA
3300 block e street,NA,NA
3400 block n6th st,NA,NA
6600 block crowson st,NA,NA
3400 block n marshall st,NA,NA
3300 block n uber st,NA,NA
3300 block ella st,NA,NA
3300 block n phillip st,NA,NA
5900 block chestnut st,NA,NA
5800 block belmar st,NA,NA
6000 block regent st,NA,NA
5900 block washington av,NA,NA
600 block franklin pl,NA,NA
6100 block market st,NA,NA
600 block s broad st,NA,NA
5900 block warrington ave,NA,NA
600 block n 11th st,NA,NA
600 block e willard st,NA,NA
6000 block n american st,NA,NA
600 block n 34th st,NA,NA
6200 block n 21st st,NA,IMHOTEP CHARTER SCHOOL
2600 block n braod st,NA,NA
300 block n edgewood st,NA,NA
2600 block n chadwick st,NA,NA
600 block ewestmorland st,NA,NA
2700 block n croskey st,NA,NA
2800 block s7th st,NA,NA
1300 block s 22nd st,NA,NA
3700 block n 7th st,NA,NA
2900 block w diamond st,NA,NA
3000 block w arizona st,NA,NA
3100 block n 23rd st,NA,NA
900 block s4th  st,NA,NA
5200 block w girard ave,NA,NA
5200 block girard ave,NA,NA
1600 block cheltenham ave,NA,NA
1000 block south st,NA,NA
3000 block n judson st,NA,NA
2500 block n franklin st,NA,NA
1700 block s 55th st,NA,NA
5300 block reinhard st,NA,NA
5900 block n norwood st,NA,NA
400 block w dauphin st,NA,NA
4100 block w girard ave,NA,NA
1700 block n 25th st,NA,NA
600 block e westmoreland st,NA,NA
2100 block e clementine st,NA,NA
5300 block kershaw st,NA,NA
3600 block germantown ave,Broad Street Line - Erie,NA
300 block e roosevelt blvd,NA,NA
3400 block mount vernon st,NA,NA
3400 block n17th st,NA,NA
3700 block n park ave,NA,NA
3600 block frankford ave,NA,DEEP ROOTS CHARTER SCHOOL
3400 block tampa st,NA,NA
3800 block n 18th st,NA,NA
3800 block old york rd,NA,NA
3800 block old york road,NA,NA
6300 block park ave,NA,NA
6000 block water st,NA,NA
6000 block n 20th st,NA,NA
6300 block callowhill st,NA,NA
600 block oregon ave,NA,NA
6300 block reedland st,NA,NA
6100 block ridge ave,NA,NA
6100 block musgrave st,NA,NA
600 block e lippencott st,NA,NA
6000 block summerdale ave,NA,NA
3500 block camac st,NA,NA
6500 block beechwood st,NA,NA
4100 block roosevelt blvd,NA,NA
4700 block n warnock st,NA,NA
5900 block hammond ave,NA,NA
2900 block n hancock st,NA,NA
700 block w erie ave,NA,NA
2600 block w 75th st,NA,NA
100 block e roosevelt blvd,NA,NA
1800 block e oakdale st,NA,NA
3100 block w york st,NA,NA
3100 block wabbottsford ave,NA,NA
100 block ritner st,NA,"SHARSWOOD, GEORGE SCHOOL"
5400 block walker st,NA,NA
4000 block aldine st,NA,NA
5400 block regent st,NA,NA
2400 block n reese st,NA,NA
2200 block mckean st,NA,NA
1200 block n taney st,NA,EL CENTRO DE ESTUDIANTES
6600 block n uber st,NA,NA
3100 block french st,NA,ONE BRIGHT RAY MANSION
1400 block s taylor st,NA,NA
1600 block s wilton st,NA,NA
100 block w chew ave,NA,NA
2600 block s 66th st,NA,NA
6200 block spruce st,NA,NA
3800 block parrish st,NA,NA
3800 block archer st,NA,NA
3700 block n 20th st,NA,NA
0 block n hobart st,NA,NA
3700 block n percy st,NA,NA
3700 block kensington ave,NA,NA
3800 block n marshall st,NA,NA
6400 block lawndale st,NA,CEDAR GROVE CHRISTIAN ACADEMY LOWER SCHOOL
6000 block walton st,NA,NA
600 block w huntingdon st,NA,NA
6400 block dicks av,NA,NA
600 block w venago st,NA,NA
6100 block n fairhill st,NA,NA
600 block w bristol st,NA,NA
6500 block grays ave,NA,NA
600 block clementine st,NA,NA
6500 block kingsessing ave,NA,NA
600 block e woodlawn st,NA,NA
600 block n 66th st,NA,HARAMBEE INSTITUTE OF SCIENCE
6100 block chew ave,NA,NA
1300 block s 54th st,NA,NA
5800 block n phillips st,NA,NA
600 block church ln,NA,NA
6400 block n 20th st,NA,NA
1000 block s55th st,NA,NA
300 block west ruscomb st,NA,NA
1900 block hunting park ave,NA,NA
1200 block hazard st,NA,NA
200 block e sharpnack st,NA,NA
2000 block york st,NA,NA
100 block s 57th st,NA,NA
1100 block w sommerville rd,NA,NA
4700 block marvine st,NA,NA
600 block n 7th st,NA,NA
1900 block clarence st,NA,NA
2500 block bonaffon st,NA,NA
1000 block w erie ave,NA,NA
1000 block s 52nd st,NA,NA
1000 block e chelten ave,NA,NA
1100 block w wingohocking st,NA,NA
600 block alcott st,NA,NA
5700 block virginian rd,NA,NA
1700 block n newkirk st,NA,NA
3000 block n 2nd st,NA,NA
2200 block n 22nd st,NA,NA
600 block w tusculum st,NA,NA
1800 block gillingham st,NA,NA
800 block n 41st st,NA,NA
100 block n 60th st,NA,NA
700 block n 37th st,NA,NA
5400 block springfield av,NA,NA
6100 block nfranklin st,NA,NA
4300 block n 4th st,NA,NA
1500 block e lycoming st,NA,NA
5100 block n camac st,NA,NA
6700 block n 17th st,NA,NA
6500 block n smedley st,NA,NA
3200 block w montgomery ave,NA,NA
7400 block woolston ave,NA,NA
500 block church lane,NA,NA
6200 block jefferson st,NA,NA
2000 block wakeling st,NA,"HARDING, WARREN G. MIDDLE SCHOOL"
4900 block n warnock st,NA,NA
6200 block oxford ave,NA,NA
4700 block n 11th st,NA,NA
6300 block w girard ave,NA,NA
6300 block girard ave,NA,NA
2500 block harlan st,NA,NA
200 block w 65th ave,NA,NA
200 block w 65th st,NA,NA
6700 block n broad st,NA,HOPE CHURCH SCHOOL
5500 block media st,NA,NA
300 block s 58th st,NA,NA
1600 block w hunting park ave,NA,NA
1600 block hunting park ave,NA,NA
2600 block york st,NA,NA
400 block w tabor rd,NA,NA
2900 block rosehill st,NA,NA
100 block w chelten ave,NA,HIGH ROAD SCHOOL OF PHILADELPHIA- GERMANTOWN
7400 block state road,NA,NA
6100 block crescentville rd,NA,NA
5500 block baltimore ave,NA,NA
4200 block rising sun ave,NA,NA
2100 block wakeling st,NA,NA
400 block w pike st,NA,NA
2300 block oxford st,NA,NA
100 block carpenter ln,NA,NA
100 block s 52nd st,NA,NA
1600 block arch st,NA,NA
1500 block girard ave,NA,NA
1500 block w girard ave,NA,NA
6000 block upland st,NA,NA
400 block n broad st,NA,NA
2800 block n taney st,NA,NA
400 block s 60th st,NA,NA
2900 block n lawrence st,NA,NA
3800 block chestnut st,NA,NA
500 block e courtland st,NA,NA
2700 block n marvine st,NA,NA
2900 block n 8th st,NA,NA
4500 block richmond st,NA,NA
2000 block s beechwood st,NA,NA
2500 block n mascher st,NA,NA
3300 block solly ave,NA,FATHER JUDGE HIGH SCHOOL
700 block s 51st st,NA,HYACINTH MONTESSORI
500 block w venango st,NA,NA
300 block e ontario st,NA,NA
5500 block florence ave,NA,NA
100 block e pastorius st,NA,NA
4800 block springfield av,NA,NA
5700 block walker st,NA,NA
1100 block e cheltenham ave,NA,NA
800 block w venago st,NA,NA
6800 block dicks ave,NA,NA
4200 block of whitaker ave,NA,NA
100 block n 62nd st,NA,NA
1700 block n woodstock st,NA,NA
3900 block pulaski st,NA,NA
200 block s broad st,Broad Street Line - Walnut-Locust,REVOLUTION SCHOOL
2600 block n broad st,NA,NA
3100 block n15th st,NA,NA
800 block jackson st,NA,NA
900 block w tabor ave,NA,NA
600 block franklin st,NA,NA
2500 block myrtlewood st,NA,NA
4600 block lancaster ave,NA,NA
5800 block haverford ave,NA,NA
6900 block frankford ave,NA,NA
1700 block n 42nd st,NA,NA
4000 block whitaker ave,NA,NA
5200 block warren st,NA,NA
1100 block w allegheny ave,NA,NA
5800 block springfield ave,NA,NA
2800 block n 2nd st,NA,NA
200 block market st,Market-Frankford Line - 2nd,NA
2500 block n 5th st,NA,NA
4800 block longshore st,NA,NA
4300 block devereaux ave,NA,NA
1300 block wagner ave,NA,NA
100 block e allegheny ave,NA,NA
5300 block lindbergh blvd,NA,NA
200 block e wellens st,NA,NA
500 block s 50th st,NA,NA
2800 block mutter st,NA,"SHEPPARD, ISAAC A. SCHOOL"
1900 block hart ln,NA,NA
4200 block girard ave,NA,NA
4400 block brown st,NA,NA
5500 block thompson st,NA,NA
900 block w dauphin st,NA,NA
1900 block s hemberger st,NA,NA
2200 block n 29th st,NA,NA
3900 block n16th st,NA,NA
3900 block n 16th st,NA,NA
2000 block n 32nd st,NA,NA
3000 block castor ave,NA,NA
7700 block city ave,NA,NA
900 block s 58th st,NA,NA
3800 block n bouvier st,NA,MASTERY PREP ELEMENTARY CHARTER SCHOOL
5800 block market st,NA,NA
1900 block n 52nd st,NA,NA
1300 block packer ave,NA,NA
6800 block grebe pl,NA,NA
6600 block guyer ave,NA,NA
3000 block memphis st,NA,NA
2100 block orthodox st,NA,NA
8000 block frankford ave,NA,HOLMESBURG CHRISTIAN ACADEMY
3800 block frankford ave,NA,NA
2200 block n broad st,Broad Street Line - Susquehanna-Dauphin,TECH FREIRE CHARTER SCHOOL
4200 block wallace st,NA,NA
1700 block olney ave,NA,NA
2400 block rhawn st,NA,NA
400 block w fisher ave,NA,NA
400 block w fisher st,NA,NA
5200 block darrah st,NA,NA
4900 block brown st,NA,NA
1500 block s 52nd st,NA,NA
1000 block arrott st,NA,NA
400 block w girard ave,NA,NA
5900 block sansom st,NA,NA
200 block w duncannon ave,NA,NA
2200 block e somerset st,NA,NA
600 block w susquehanna ave,NA,NA
700 block n 43rd st,NA,NA
2600 block palethorp st,NA,NA
2300 block n 17 st,NA,NA
7200 block woodland ave,NA,NA
1100 block w tioga st,NA,NA
2900 block n bailey st,NA,KIPP PHILADELPHIA CHARTER
4600 block vista st,NA,NA
100 block w lehigh ave,NA,NA
2500 block kensington ave,NA,NA
5300 block n 10th st,NA,NA
5200 block duffield st,NA,NA
1200 block w lehigh ave,NA,NA
1300 block w allegheny ave,NA,NA
1800 block w susquehanna ave,NA,NA
100 block n 46th st,Market-Frankford Line - 46th,NA
5400 block woodland ave,NA,NA
5400 block woodland,NA,NA
1700 block georges lane,NA,NA
1700 block georges ln,NA,NA
0 block e coulter st,NA,NA
3300 block jasper st,NA,NA
2100 block s gould st,NA,NA
6600 block jackson st,NA,NA
3400 block n 17th st,NA,NA
6400 block edmund st,NA,NA
5400 block lancaster ave,NA,NA
4900 block frankford ave,NA,NA
5800 block eastwick st,NA,NA
5700 block delancey st,NA,"HAMILTON, ANDREW SCHOOL"
6700 block ogontz ave,NA,NA
2100 block s 24th st,NA,UNIVERSAL VARE CHARTER SCHOOL
3400 block spruce st,NA,NA
2100 block e stella st,NA,NA
6400 block torresdale ave,NA,NA
5200 block haverford ave,NA,NA
8400 block lyons pl,NA,NA
2100 block wtoronto st,NA,NA
2000 block n marshall st,NA,THE U SCHOOL
2100 block e clearfield st,NA,NA
3100 block g street,NA,NA
5800 block hoffman st,NA,TILDEN MIDDLE SCHOOL
4300 block old york rd,NA,NA
3100 block rosehill st,NA,NA
5900 block morton st,NA,LOTUS ACADEMY
100 block wlehigh ave,NA,NA
400 block n 59th st,NA,NA
1800 block s iseminger st,NA,NA
4100 block ogden st,NA,NA
2900 block rorer st,NA,NA
6000 block lansdowne ave,NA,NA
2500 block n 29th st,NA,NA
4800 block paschall ave,NA,NA
1600 block annin st,NA,NA
3100 block w lehigh ave,NA,NA
1600 block widener pl,NA,NA
3100 block w diamond st,NA,NA
1100 block lindley ave,NA,NA
200 block glenwood ave,NA,NA
6000 block woodland ave,NA,NA
6800 block paschal ave,NA,NA
6100 block lansdowne ave,NA,NA
900 block oregon ave,NA,"FELL, D. NEWLIN SCHOOL"
2900 block nhope st,NA,"SHEPPARD, ISAAC A. SCHOOL"
6400 block musgrave st,NA,NA
6400 block carlton st,NA,NA
300 block e lehigh ave,NA,VISITATION SCHOOL
2200 block e ann st,NA,NA
1400 block w toronto st,NA,NA
2600 block montgomery ave,NA,NA
1200 block w sergeant st,NA,NA
400 block n 38th st,NA,NA
400 block e cambria st,NA,NA
5500 block chester ave,NA,NA
7000 block louise st,NA,NA
1000 block woodlawn st,NA,MASTERY CHARTER @ PASTORIUS
1600 block w bristol st,NA,NA
3000 block poplar st,NA,NA
3000 block n bonsall st,NA,NA
2400 block aramingo ave,NA,NA
100 block e seymour st,NA,NA
2700 block aramingo ave,NA,NA
5300 block  greenway ave,NA,NA
500 block e wyoming ave,NA,NA
5700 block haverford ave,NA,NA
3400 block aramingo ave,NA,NA
2300 block n cleveland st,NA,NA
2300 block cleveland st,NA,NA
5000 block frankford ave,NA,NA
3900 block n delhi st,NA,NA
6600 block leeds st,NA,NA
3200 block gilham st,NA,NA
100 block w grange st,NA,NA
2200 block w allegheny ave,NA,NA
5400 block pearl st,NA,NA
5000 block baltimore ave,NA,NA
1300 block lindley ave,NA,NA
2600 block n sartain st,NA,NA
2800 block w lehigh ave,NA,NA
3900 block city av,NA,NA
6100 block vine st,NA,NA
4500 block longshore ave,NA,KEYSTONE ACADEMY CHARTER
1200 block n 55th st,NA,NA
1500 block w glenwood ave,NA,NA
1800 block hart la,NA,NA
300 block s 52nd st,NA,NA
1800 block s 18th st,NA,NA
300 block oregon ave,NA,NA
4900 block thompson st,NA,NA
3600 block n broad st,NA,NA
2600 block n franklin st,NA,NA
1500 block wharton st,NA,"CHILDS, GEORGE W. SCHOOL"
1900 block welsh rd,NA,NA
1300 block w lycoming ave,NA,NA
1300 block w lycoming st,NA,NA
6300 block stenton ave,NA,NA
3000 block n broad st,NA,NA
4900 block n 16th st,NA,NA
1300 block s 56th st,NA,NA
700 block e locust av,NA,NA
400 block w cheltenham ave,NA,NA
1800 block wallace st,NA,NA
1800 block wallace,NA,NA
5000 block ditman st,NA,NA
1300 block n 50th st,NA,NA
2600 block earp st,NA,NA
3200 block kensington ave,NA,NA
5500 block linmore ave,NA,NA
1900 block s cecil st,NA,CORNERSTONE CHRISTIAN ACADEMY
6100 block spruce st,NA,NA
300 block christian st,NA,NA
5400 block n 11th st,NA,NA
5200 block frankford ave,Market-Frankford Line - Frankford Transportation Center,NA
4000 block benner st,NA,NA
5400 block lindbergh blvd,NA,NA
5400 block linbergh blvd,NA,NA
2900 block n waterloo st,NA,"SHEPPARD, ISAAC A. SCHOOL"
4000 block haverford ave,NA,NA
900 block porter st,NA,NA
5800 block torresdale ave,NA,NA
6100 block kingsessing ave,NA,NA
4000 block kensington ave,NA,NA
5400 block baltimore ave,NA,NA
2100 block s 17th st,NA,NA
600 block diamond st,NA,NA
4900 block summerdale ave,NA,NA
7400 block jackson st,NA,BRIDGE WAY SCHOOL
1200 block lindley ave,NA,NA
6600 block n 15thst,NA,NA
1600 block n 52nd st,NA,NA
600 block e erie ave,NA,NA
4700 block rising sun av,NA,NA
6700 block guyer av,NA,NA
1800 block w girard ave,NA,NA
100 block n 52nd st,NA,NA
4000 block n reese st,NA,NA
4900 block laurens st,NA,NA
1000 block w cumberland st,NA,NA
5900 block springfield ave,NA,NA
1600 block w york st,NA,NA
1900 block w cecil b moore ave,NA,ALLIANCE FOR PROGRESS CHARTER SCHOOL (ANNEX)
2000 block e william st,NA,NA
2000 block e william street,NA,NA
5100 block westminster ave,NA,NA
3200 block guilford st,NA,NA
5th & glenwood sts,NA,NA
500 block w glenwood ave,NA,NA
2300 block w huntingdon st,NA,NA
1300 block fillmore st,NA,NA
2600 block bouvier st,NA,NA
5700 block springfield ave,NA,NA
900 block bridge st,NA,NA
2100 block carpenter st,NA,NA
1300 block w lehigh ave,NA,NA
5400 block germantown ave,NA,NA
2500 block smillck st,NA,NA
2500 block grant ave,NA,NA
1900 block n 32nd st,NA,NA
3100 block c street,NA,NA
1300 block w rockland st,NA,NA
2000 block n 16th st,NA,NA
5900 block columbia st,NA,OVERBROOK HIGH SCHOOL
3100 block abbottsford ave,NA,NA
1500 block w allegheny ave,NA,NA
5400 block akron st,NA,NA
3300 block n 21st st,NA,NA
6600 block woodland av,NA,NA
7200 block haverford ave,NA,NA
2400 block n napa st,NA,NA
2400 block wlehigh ave,NA,NA
1600 block s 5th st,NA,NA
1300 block cecil b moore ave,NA,NA
6300 block magnolia st,NA,NA
3600 block old york rd,NA,NA
1800 block cecil b moore ave,NA,ALLIANCE FOR PROGRESS CHARTER SCHOOL (ANNEX)
7200 block glenloch st,NA,NA
1500 block s 53rd st,NA,NA
1500 block n53rd st,NA,NA
4300 block unruh ave,NA,NA
4100 block n 6th st,NA,"MC CLURE, ALEXANDER K. SCHOOL"
1200 block n hutchinson st,NA,NA
900 block n broad st,NA,NA
3500 block germantown ave,NA,NA
2900 block edgley st,NA,NA
400 block  e wyoming ave,NA,NA
4900 block old york rd,NA,NA
6500 block lansdowne ave,NA,NA
700 block e hunting park ave,NA,NA
1700 block s 5th st,NA,NA
1400 block frankford ave,NA,NA
400 block n redfield st,NA,NA
1300 block s 17th st,NA,NA
4900 block frankford,NA,NA
1200 block w susquehanna av,NA,NA
3800 block morrell ave,NA,NA
2800 block hope st,NA,"SHEPPARD, ISAAC A. SCHOOL"
1500 block sellers st,NA,FRANKFORD FRIENDS SCHOOL
2000 block tasker st,NA,NA
8000 block thouron st,NA,NA
300 block n52nd st,NA,NA
4500 block gratz st,NA,NA
8000 block temple rd,NA,NA
2000 block chelten ave,NA,NA
5700 block malcom st,NA,NA
3900 block brown st,NA,NA
1300 block e luzerne st,NA,"HOPKINSON, FRANCIS SCHOOL"
300 block s 40th st,NA,NA
4000 block city ave,NA,NA
7800 block chelwynde ave,NA,NA
300 block e chelten ave,NA,NA
2300 block n fawn st,NA,NA
1500 block point breeze ave,NA,NA
900 block w sedgley ave,NA,LAB SCH OF COMMUNICAT'N & LANG
800 block e westmoreland st,NA,NA
2600 block tasker st,NA,NA
600 block n 38th st,NA,NA
5400 block whitby ave,NA,NA
600 block n 8th st,NA,NA
6200 block paschall ave,NA,NA
5900 block n b st,NA,NA
500 block e tulpehocken st,NA,NA
4900 block kingsessing ave,NA,NA
600 block n52nd st,NA,NA
6800 block frontenac st,NA,NA
6200 block vine st,NA,NA
40th and cambridge st,NA,NA
5900 block windsor st,NA,NA
7400 block redwing pl,NA,NA
4700 block higbee st,NA,NA
1800 block fillmore st,NA,NA
7200 block anderson st,NA,NA
1000 block harrison st,NA,NA
1000 block n 40th st,NA,NA
4900 block nhutchinson st,NA,NA
6500 block essington ave,NA,NA
3700 block n  broad st,Broad Street Line - Erie,NA
2700 block tasker st,NA,NA
1600 block granite st,NA,NA
800 block vernon rd,NA,NA
1500 block church st,NA,NA
2100 block s simpson st,NA,NA
1800 block n 24th st,NA,NA
6400 block glenmore st,NA,NA
1500 block s bailey st,NA,NA
600 block w erie ave,NA,NA
6400 block guyer ave,NA,NA
7700 block ogontz ave,NA,NA
broad st & somerville ave,NA,NA
3600 block n 19th st,NA,NA
400 block fitzgerald st,NA,NA
4900 block walnut st,NA,NA
200 block w grange ave,NA,NA
3300 block tulip st,NA,NA
1800 block 67th ave,NA,NA
1800 block e westmoreland st,NA,NA
6500 block n broad st,NA,NA
3000 block rorer st,NA,NA
4500 block n 7th st,NA,NA
6100 block haddington lane,NA,NA
2400 block nicholas st,NA,NA
3000 block diamond st,NA,NA
400 block raymond st,NA,NA
1600 block haines st,NA,NA
2100 block w susquhanna ave,NA,NA
3400 block mascher st,NA,"CRAMP, WILLIAM SCHOOL"
600 block s 60th st,NA,NA
300 block of glen echo rd,NA,NA
1300 block w cumberland st,NA,NA
2400 block jefferson st,NA,NA
1400 block e cheltenham ave,NA,NA
700 block wallace st,NA,NA
300 block e clarkson ave,NA,NA
2300 block n 15th st,NA,NA
800 block w olney ave,NA,NA
6000 block n ogontz ave,NA,NA
5100 block woodland ave,NA,NA
1500 block w grange ave,NA,NA
3000 block w susquehanna ave,NA,ONE BRIGHT RAY MANSION
1500 block s 21st st,NA,NA
6700 block trinity st,NA,NA
2400 block w norris st,NA,NA
4700 block chester ave,NA,NA
2000 block 75th ave,NA,NA
2300 block e clearfield st,NA,NA
2400 block w poplar st,NA,CITY SCHOOL AT FAIRMOUNT
5900 block hegerman st,NA,NA
1800 block roselyn st,NA,NA
1800 block s 21st st,NA,NA
2000 block parrish st,NA,NA
1200 block carpenter st,NA,NA
600 block south st,NA,NA
3900 block m street,NA,NA
6800 block n 16th st,NA,NA
1700 block edwin walk 2nd fl,NA,NA
8200 block lowber av,NA,NA
3300 block st vincent st,NA,NA
400 block e clarkson av,NA,NA
3900 block n darien st,NA,NA
2700 block n howard st,NA,NA
5200 block whitaker ave,NA,NA
1500 block clearview st,NA,NA
2000 block bellmore st,NA,NA
1100 block w duncannon ave,NA,NA
1300 block hunting park ave,NA,NA
7300 block torresdale ave,NA,ST HUBERTS CATHOLIC HIGH SCHOOL
4100 block old york rd,NA,NA
4600 block n penn st,NA,NA
1500 block s newkirk st,NA,NA
2000 block n 23rd st,NA,NA
5500 block regent st,NA,NA
2000 block synder ave,NA,NA
5000 block summerdale ave,NA,NA
1500 block w grange st,NA,NA
500 block e loudon st,NA,NA
5000 block f street,NA,NA
3900 block aspen st,NA,NA
3900 block pulaski ave,NA,NA
1700 block n 62nd st,NA,NA
4500 block wayne ave,NA,NA
3900 block poplar st,NA,NA
3800 block wallace st,NA,NA
700 block w champlost ave,NA,NA
4100 block n 5th st,NA,NA
3000 block w cumberland st,NA,NA
8100 block lyons ave,NA,NA
5500 block elliott st,NA,NA
2000 block e schiller st,NA,"WEBSTER, JOHN H. SCHOOL"
1600 block s 56th st,NA,NA
6100 block media st,NA,NA
500 block w erie ave,NA,"TAYLOR, BAYARD SCHOOL"
10800 block knights rd,NA,NA
5100 block n penn st,NA,NA
200 block e wyoming st,NA,NA
6300 block market st,Market-Frankford Line - 63rd,NA
100 block n 54th st,NA,NA
6000 block cedarhurst st,NA,NA
6300 block regent st,NA,NA
3400 block nbroad st,NA,NA
3400 block broad st,NA,NA
2700 block snyder ave,NA,NA
3000 block page street,NA,NA
4600 block kingsessing ave,NA,NA
2100 block n 21st st,NA,NA
5900 block elmwood ave,NA,NA
6500 block limekiln pk,NA,NA
1600 block e hunting park ave,NA,NA
1300 block n 10th st,NA,NA
1500 block n 28th st,NA,NA
2100 block 72nd ave,NA,NA
7600 block city ave,NA,NA
300 block n 63rd st,NA,NA
6400 block n camac st,NA,NA
2600 block welsh rd,NA,NA
1900 block n orianna st,NA,NA
900 block w girard ave,NA,NA
2100 block n 18th st,NA,NA
400 block nchristopher columbus blvd,NA,NA
4300 block lancaster ave,NA,NA
100 block spring garden st,Market-Frankford Line - Spring Garden,NA
900 block orthodox st,NA,NA
4900 block n 10th st,NA,NA
4100 block frankford ave,NA,NA
3500 block w allegheny ave,NA,NA
2300 block s ithan st,NA,NA
900 block n franklin st,NA,NA
3200 block n 17th st,NA,NA
5200 block hawthorne st,NA,NA
5300 block walton st,NA,NA
900 block w erie ave,NA,NA
2900 block n 4th st,NA,NA
1200 block unity st,NA,NA
1800 block s conestoga st,NA,NA
6400 block rising sun ave,NA,NA
5300 block rising sun ave,NA,NA
1000 block w rockland st,NA,NA
2500 block ingersoll st,NA,NA
2400 block n hollywood st,NA,NA
3800 block n darien st,NA,NA
2600 block n 17th st,NA,NA
2400 block ridge ave,NA,NA
400 block comly st,NA,NA
n 39th st  /  olive st,NA,NA
5300 block n 5th st,NA,NA
3200 block ridge ave,NA,STRAWBERRY MANSION HIGH SCHOOL
3000 block ryan ave,NA,NA
4800 block n hutchinson st,NA,NA
5600 block cedar ave,NA,NA
1400 block e lycoming st,NA,NA
1100 block overington st,NA,NA
2500 block w sterner st,NA,NA
4000 block e roosevelt blvd,NA,NA
5900 block tulip st,NA,NA
2500 block s 8th st,NA,NA
100 block s 61st st,NA,NA
5100 block catharine st,NA,NA
3200 block w arizona st,NA,NA
1900 block s 7th st,NA,NA
400 block w wellens st,NA,NA
100 block hansberry st,NA,NA
1400 block n 52nd st,NA,NA
2800 block n waterloo st,NA,NA
1000 block n marshall st,NA,NA
2300 block n lambert st,NA,NA
1900 block s bonsall st,NA,NA
3400 block n 8th st,NA,NA
5400 block pentridge st,NA,NA
2900 block w abbottsford ave,NA,NA
700 block w cambria st,NA,NA
5200 block lancaster ave,NA,NA
800 block w sedgley st,NA,NA
900 block n saint bernard st,NA,NA
3000 block tioga st,NA,NA
1800 block cambria st,NA,NA
600 block princeton ave,NA,NA
1700 block n dover st,NA,NA
1100 block e luzerne st,NA,NA
3200 block cottman ave,NA,NA
4600 block shelmire st,NA,NA
2300 block montrose st,NA,NA
2200 block e clearfield st,NA,NA
7100 block limekiln pike,NA,ST ATHANASIUS IMMACULATE CONCEPTION SCHOOL
900 block w champlost ave,NA,NA
1700 block wjefferson st,NA,NA
4500 block n 5th st,NA,NA
1500 block wlehigh ave,NA,NA
2900 block richmond st,NA,NA
600 block n 65th st,NA,NA
7000 block roosevelt blvd,NA,NA
300 block n 55th st,NA,NA
4100 block unruh st,NA,NA
700 block e thayer st,NA,NA
1600 block cecil b moore ave,NA,NA
1600 block cecil b moore st,NA,NA
2000 block kelly dr,NA,NA
5100 block valley st,NA,NA
1700 block w allegheny ave,NA,NA
5800 block woodland ave,NA,NA
500 block n christopher columbus blvd,NA,NA
200 block e ontario st,NA,NA
4900 block germantown ave,NA,NA
600 block w butler st,NA,NA
1800 block tioga st,NA,NA
300 block w cambria st,NA,PAN AMERICAN ACADEMY CHARTER
5300 block malcolm st,NA,NA
2600 block w seltzer st,NA,NA
6700 block chew ave,NA,NA
6100 block baltimore ave,NA,NA
7100 block greenway ave,NA,NA
2900 block passmore st,NA,NA
600 block atwood st,NA,NA
6200 block chew ave,NA,NA
5800 block upland way,NA,NA
4900 block arch st,NA,NA
200 block w cornmall st,NA,"MUNOZ-MARIN, HON LUIS SCHOOL"
7300 block chelwynde ave,NA,NA
5400 block arlington st,NA,NA
5800 block n penn st,NA,NA
7500 block city ave,NA,NA
100 block e ruscomb st,NA,NA
5300 block arlington st,NA,NA
700 block e ontario st,NA,NA
2100 block dickinson st,NA,NA
2500 block e allegheny ave,NA,NA
5100 block parkside ave,NA,NA
