location,transit_id,school_id
2000 block dickenson st,NA,NA
2300 block e westmoreland st,NA,NA
1700 block n 27th st,NA,NA
1100 block wagner ave,NA,NA
2300 block w 77th ave,NA,NA
600 block cecil b moore ave,NA,NA
1600 block cambridge st,NA,NA
2500 block n 9th st,NA,NA
6200 block castor ave,NA,NA
3800 block aspen st,NA,NA
4100 block lancaster st,NA,NA
5300 block linbergh blvd,NA,NA
1300 block catherine st,NA,NA
500 block s 54th st,NA,NA
7100 block brous ave,NA,NA
marion st  /  hansberry st,NA,NA
2500 block sartain st,NA,NA
5600 block rising sun ave,NA,NA
400 block e clearfield st,NA,NA
2500 block of n alder st,NA,NA
900 block w spencer st,NA,NA
6400 block emlen st,NA,NA
6700 block upland st,NA,NA
1000 block s 4th st,NA,NA
2800 block n 7th st,NA,NA
3100 block b street,NA,NA
3200 block d street,NA,NA
2700 block helen st,NA,NA
5700 block greenway ave,NA,NA
1600 block foulkrod st,NA,NA
s 58th st & willows av,NA,NA
800 block e chelten ave,NA,NA
60th & spruce,NA,NA
13th & rockland st,NA,NA
2600 block  w montgomery ave,NA,NA
700 block e locust ave,NA,NA
700 block locust ave,NA,NA
6700 block greenway ave,NA,NA
3000 block f street,NA,NA
4500 block cator ave,NA,NA
54th & chester ave,NA,NA
chelten av  /  n woodstock st,NA,NA
f and roosevelt blvd,NA,NA
1800 block e ontario st,NA,NA
4700 block benner st,NA,NA
500 block lindley ave,NA,NA
s 27th st  /  dickinson st,NA,NA
1500 block arrott st,NA,NA
3200 block emerald st,NA,NA
3400 block jasper st,NA,NA
5th & roosevelt blvd,NA,NA
1000 block benner st,NA,NA
600 block ritner st,NA,NA
5900 block vine st,NA,NA
2000 block fernon st,NA,NA
4500 block merion st,NA,NA
3000 block ella st,NA,NA
3000 block n ella st,NA,NA
3500 block joyce st,NA,NA
5300 block lesher st,NA,NA
3500 block ruth st,NA,NA
1800 block e thayer st,NA,NA
6300 block walkerst,NA,NA
3000 block ormes st,NA,NA
2700 block kensington ave,NA,VISITATION SCHOOL
5100 block market st,NA,NA
2100 block conlyn st,NA,NA
2200 block n 23rd st,NA,NA
6600 block lansdowne ave,NA,NA
9th & roosevelt blvd,NA,NA
n 46th st  / parrish,NA,NA
n 33rd st  & w oxford st,NA,NA
4400 block holden st,NA,NA
4400 block n holden st,NA,NA
22nd / fox sts,NA,NA
e upsal st  /  crittenden st,NA,NA
5800 block summerdale ave,NA,NA
fairmount av & n broad st,Broad Street Line - Fairmount,NA
4200 block griscom st,NA,NA
2100 block fernon st,NA,NA
4500 block carlisle st,NA,NA
broad /  susquehanna ave,Broad Street Line - Susquehanna-Dauphin,TECH FREIRE CHARTER SCHOOL
3500 block n 18th st,NA,NA
18th & jefferson st,NA,NA
7300 block theodore st,NA,NA
2100 block pierce st,NA,NA
4600 block market st,Market-Frankford Line - 46th,NA
5900 block lancaster ave,NA,NA
1600 block n redfield st,NA,NA
1400 block windrim ave,Broad Street Line - Logan,NA
1900 block n21st st,NA,NA
1800 block eorleans st,NA,NA
1800 block e orleans st,NA,NA
3100 block n 13th st,NA,NA
2500 block n 8th st,NA,"HARTRANFT, JOHN F. SCHOOL"
1000 block e mt airy ave,NA,NA
5200 block knox st,NA,NA
1600 block n 17th st,NA,NA
1200 block s 24th st,NA,NA
6100 block morton st,NA,NA
2200 block s bonsall st,NA,NA
4000 block wallace st,NA,NA
63rd & market st,Market-Frankford Line - 63rd,NA
e chelten av  /  baynton st,NA,NA
1300 block colwyn st,NA,NA
2900 block tulip st,NA,NA
2900 block chalmer st,NA,NA
3100 block a street,NA,NA
"3600 block ""b"" st",NA,NA
1800 block seybert st,NA,NA
2600 block welsh rd apt j-107,NA,NA
2400 block n park ave,NA,NA
4100 block torresdale ave,NA,NA
chew ave & johnson st,NA,NA
4300 block palmetto st,NA,NA
4900 block darrah st,NA,NA
700 block n sloan st,NA,NA
2400 block w oxford st,NA,NA
600 block e hilton st,NA,NA
200 block s 52nd st,NA,NA
1400 block w girard ave,Broad Street Line - Girard,NA
1800 block hart lane,NA,NA
5400 block wyalusing ave,NA,NA
500 block w spencer st,NA,ST HELENA INCARNATION REGIONAL CATHOLIC SCHOOL
6100 block elmwood ave,NA,NA
2000 block dennie st,NA,NA
5th st and olney ave,NA,NA
4400 block germantown ave,NA,NA
400 block n 57th st,NA,NA
11500 block e roosevelt blvd,NA,NA
11500 block roosevelt blvd,NA,NA
1600 block s 25th st,NA,NA
2300 block e dauphin st,NA,NA
5600 block n 15th st,NA,NA
2900 block moore st,NA,NA
johnson st & mansfield ave,NA,NA
3000 block n8th st,NA,NA
3000 block n 8th st,NA,NA
1800 block stenton ave,NA,NA
200 block e cambria st,NA,NA
5400 block warrington ave,NA,MASTERY CHARTER AT HARDY WILLIAMS
2100 block s 7th st,NA,NA
2200 block n cambria st,NA,NA
1800 block e monmouth st,NA,NA
bayton and pastorius st,NA,NA
baynton st  /  e pastorius st,NA,NA
baynton st & e pastorius st,NA,NA
5600 block vine st,NA,NA
5800 block ogontz ave,NA,NA
2200 block w somerset st,NA,NA
500 block w grange ave,NA,NA
200 block w chew ave,NA,NA
400 block w indiana ave,NA,NA
400 block w  indiana ave,NA,NA
400 block w indiana st,NA,NA
6000 block allman st,NA,NA
0 block s 52nd st,Market-Frankford Line - 52nd,NA
4900 block chester ave,NA,NA
60th & market st,Market-Frankford Line - 60th,NA
2900 block roberts st,NA,NA
6100 block castor ave,NA,NA
2800 block n fairhill st,NA,NA
2700 block chalmers st,NA,NA
6000 block n 21st st,NA,NA
6300 block lansdowne ave,NA,NA
5200 block germantown ave,NA,NA
300 block n38th st,NA,NA
600 block w hunting park ave,NA,"MC CLURE, ALEXANDER K. SCHOOL"
21st & conlyn st,NA,NA
1600 block wakeling st,NA,NA
1800 block w allegheny ave,NA,CRISTO REY PHILADELPHIA HIGH SCHOOL
10th & brown st,NA,NA
6500 block gesner st,NA,NA
11200 block academy rd,NA,NA
5200 block webster st,NA,NA
n gratz st  & w dauphin st,NA,NA
5700 block ogontz ave,NA,NA
2600 block jackson st,NA,NA
1300 block benner st,NA,NA
6000 block haverford ave,NA,NA
2400 block morris st,NA,NA
6300 block lancaster ave,NA,NEW LIFE ALTERNATIVES CHRISTIAN ACADEMY
4200 block frankford ave,NA,NA
4500 block germantown ave,NA,NA
100 block s 11th st,NA,K012 KIDS SCHOOL
4400 block n 19th st,NA,NA
4400 block n19th st,NA,NA
2800 block rosehill st,NA,NA
4700 block unruh ave,NA,NA
600 block n 55th st,NA,NA
1500 block s wilton st,NA,NA
2000 block s cecil st,NA,CORNERSTONE CHRISTIAN ACADEMY
4500 block morris st,NA,NA
2700 block wolf st,NA,NA
2900 block n 2nd st,NA,NA
2300 block leithgow st,NA,"WELSH, JOHN SCHOOL"
1400 block cecil b moore,NA,NA
2700 block emerald st,NA,NA
5400 block addison st,NA,NA
2100 block n cambria st,NA,NA
5700 block ashland ave,NA,NA
5000 block ogden st,NA,"RHOADS, JAMES SCHOOL"
0 block n conestoga st,NA,NA
5300 block wayne ave,NA,NA
1600 block tasker st,NA,NA
600 block n preston st,NA,NA
5700 block summerdale ave,NA,NA
2700 block a st,NA,NA
2700 block a street,NA,NA
5900 block horrocks st,NA,NA
8800 block frankford ave,NA,NA
1400 block dauphin st,Broad Street Line - Susquehanna-Dauphin,NA
2300 block of n 13th st,NA,NA
4300 block tackawanna st,NA,NA
2100 block simpson st,NA,NA
1800 block dickinson st,NA,NA
500 block spring garden st,NA,NA
1700 block  w allegheny ave,NA,NA
5600 block gibson dr,NA,NA
2800 block n 9th st,NA,NA
2300 block wilder st,NA,NA
200 block w cumberland st,NA,NA
1800 block e lehigh ave,NA,VISITATION SCHOOL
5300 block greenway ave,NA,NA
2000 block w susquehanna ave,NA,NA
1800 block master st,NA,NA
3200 block susquehanna av,NA,ONE BRIGHT RAY MANSION
500 block n 32nd st,NA,NA
2400 block edgley st,NA,NA
6200 block walton st,NA,NA
4800 block darrah st,NA,NA
1400 block w clearfield st,NA,NA
100 block e somerset st,NA,NA
100 block w clearfield st,NA,NA
1400 block s 57th st,NA,NA
4300 block wyalusing ave,NA,NA
600 block mifflin st,NA,NA
5600 block sansom st,NA,NA
5600 block n 6th st,NA,NA
700 block lindley ave,NA,NA
700 block red lion rd,NA,NA
1300 block w venago st,NA,NA
1300 block w venango st,NA,NA
5200 block warrington ave,NA,NA
3100 block w cumberland st,NA,NA
2200 block moore st,NA,"MCDANIEL, DELAPLAINE SCHOOL"
4500 block lancastor ave,NA,NA
3100 block park av,NA,NA
1900 block roberts st,NA,NA
5000 block hoopes st,NA,NA
1400 block n myrtlewood st,NA,NA
2600 block n napa st,NA,NA
4500 block n19th st,NA,NA
5400 block old york rd,NA,NA
200 block w clapier st,NA,NA
5000 block ogontz ave,NA,NA
500 block e indiana ave,NA,NA
5600 block blakemore st,NA,NA
6000 block cobbs creek prwy,NA,NA
400 block wwyoming ave,NA,NA
2100 block bellevue st,NA,NA
1500 block n allison st,NA,NA
3200 block n 3rd st,NA,NA
2300 block n opal st,NA,NA
0 block n 58th st,NA,NA
2200 block seybert st,NA,NA
6000 block greenway st,NA,NA
700 block n 38th st,NA,NA
3200 block g street,NA,NA
3200 block g st,NA,NA
3300 block w diamond st,NA,NA
2400 block s 70th st,NA,NA
4800 block tackawanna st,NA,NA
5400 block master st,NA,NA
2700 block n 15th st,NA,NA
1000 block w venago st,NA,NA
2100 block n 22nd st,NA,NA
3000 block jefferson st,NA,NA
3700 block wallace st,NA,NA
2200 block n 12th st,NA,NA
700 block e allegheny ave,NA,NA
4700 block locust st,NA,"LEA, HENRY C."
1000 block n 39th st,NA,NA
700 block w pike st,NA,NA
100 block s 49th st,NA,WEST PHILADELPHIA HIGH SCHOOL
1300 block n 17th st,NA,GESU SCHOOL
5000 block aspen st,NA,NA
1600 block master st,NA,SHILOH CHRISTIAN ACADEMY
4600 block girard ave,NA,NA
6800 block n 20th st,NA,NA
3600 block n 17th st,NA,NA
2400 block n marston st,NA,NA
2400 block marston st,NA,NA
7100 block elmwood ave,NA,NA
4200 block brown st,NA,NA
1700 block w cumberland st,NA,NA
1700 block wcumberland st,NA,NA
2400 block n college ave,NA,NA
5100 block chestnut st,NA,NA
2000 block n 24th st,NA,NA
100 block w gurney st,NA,NA
600 block spring garden st,NA,NA
500 block w king st apt e4,NA,NA
7600 block stenton ave,NA,NA
4400 block n 18th st,NA,NA
1400 block christian st,NA,NA
2700 block n 25th st,NA,NA
1300 block s 16th st,NA,"CHILDS, GEORGE W. SCHOOL"
1100 block w ontario st,NA,NA
1200 block s 55th st,NA,NA
1800 block n ringgold st,NA,NA
2600 block n 27th st,NA,NA
4700 block griscom st,Market-Frankford Line - Arrott Transportation Center,NA
2900 block n 27th st,NA,NA
700 block s 52nd st,NA,NA
600 block w somerset st,NA,NA
1300 block ruscomb st,NA,LOGAN HOPE SCHOOL
1300 block w ruscomb st,NA,LOGAN HOPE SCHOOL
1300 block allegheny ave,NA,NA
900 block w boston st,NA,NA
1400 block belfield ave,NA,NA
1900 block w butler st,NA,NA
5300 block kingsessing ave,NA,NA
1700 block n 24th st,NA,NA
1800 block e harold st,Market-Frankford Line - Huntingdon,NA
3400 block philip st,NA,NA
2500 block w york st,NA,NA
2900 block amber st,NA,NA
4900 block lancaster st,NA,NA
100 block wcambria st,NA,"SHEPPARD, ISAAC A. SCHOOL"
100 block w cambria st,NA,"SHEPPARD, ISAAC A. SCHOOL"
100 block e ontario st,NA,NA
1600 block catherine st,NA,NA
1500 block w ontario st,NA,KENDERTON ELEMENTARY
5500 block malcolm st,NA,NA
0 block w queen lane,NA,NA
1600 block w stiles st,NA,NA
3000 block hartville st,NA,NA
2700 block n orianna st,NA,"DEBURGOS, J. ELEMENTARY"
1400 block clearview st,NA,NA
1000 block granite st,NA,NA
5900 block norwood st,NA,NA
1800 block e clementine st,NA,NA
4100 block n franklin st,NA,NA
4900 block penn st,NA,NA
700 block e westmorland st,NA,NA
2800 block c st,NA,NA
100 block e gurney st,NA,NA
3200 block tulip st,NA,NA
6400 block glenmore rd,NA,NA
germantown & chelten ave,NA,NA
2200 block s 58th st,NA,NA
1000 block w indiana ave,NA,NA
60th & catherine st,NA,NA
1400 block n 55th st,NA,NA
2200 block w diamond st,NA,NA
2200 block diamond st,NA,NA
0 block e bringhurst st,NA,NA
1700 block wpacific st,NA,NA
18th & erie ave,NA,NA
1600 block n 30th st,NA,NA
200 block e louden st,NA,NA
28th & jackson st,NA,NA
3600 block n 21st street,NA,NA
5400 block locust st,NA,NA
67th and 16th st,NA,NA
0 block n 59th st,NA,NA
5600 block greenway ave,NA,NA
2700 block w cambria st,NA,NA
n 9th st & w butler st,NA,NA
6000 block webster st,NA,NA
5900 block wchamplost ave,NA,NA
5900 block champlost ave,NA,NA
